seat_x,seat_y,role,assigned_leader_x,assigned_leader_y,t_l,t_j
680,804,joiner,688,812,,21.0
682,804,joiner,690,812,,21.0
684,804,joiner,690,812,,21.0
686,804,joiner,690,812,,21.0
688,804,joiner,690,812,,21.0
690,804,joiner,690,812,,21.0
692,804,joiner,690,812,,21.0
694,804,joiner,690,812,,21.0
696,804,joiner,690,812,,21.0
698,804,joiner,690,812,,21.0
700,804,joiner,692,812,,21.0
702,804,joiner,698,812,,23.0
704,804,joiner,698,812,,23.0
706,804,joiner,698,812,,23.0
708,804,joiner,700,812,,23.0
680,806,joiner,688,814,,21.0
682,806,joiner,688,812,,17.0
684,806,joiner,690,812,,17.0
686,806,joiner,690,812,,17.0
688,806,joiner,690,812,,17.0
690,806,joiner,690,812,,17.0
692,806,joiner,690,812,,17.0
694,806,joiner,690,812,,17.0
696,806,joiner,690,812,,17.0
698,806,joiner,692,812,,17.0
700,806,joiner,698,812,,19.0
702,806,joiner,698,812,,19.0
704,806,joiner,698,812,,19.0
706,806,joiner,700,812,,19.0
708,806,joiner,700,814,,21.0
680,808,joiner,688,814,,21.0
682,808,joiner,688,814,,17.0
684,808,joiner,688,812,,13.0
686,808,joiner,690,812,,13.0
688,808,joiner,690,812,,13.0
690,808,joiner,690,812,,13.0
692,808,joiner,690,812,,13.0
694,808,joiner,690,812,,13.0
696,808,joiner,692,812,,13.0
698,808,joiner,698,812,,15.0
700,808,joiner,698,812,,15.0
702,808,joiner,698,812,,15.0
704,808,joiner,700,812,,15.0
706,808,joiner,700,814,,17.0
708,808,joiner,700,814,,21.0
680,810,joiner,688,814,,21.0
682,810,joiner,688,814,,17.0
684,810,joiner,688,814,,13.0
686,810,joiner,688,812,,9.0
688,810,joiner,690,812,,9.0
690,810,joiner,690,812,,9.0
692,810,joiner,690,812,,9.0
694,810,joiner,692,812,,9.0
696,810,joiner,698,812,,11.0
698,810,joiner,698,812,,11.0
700,810,joiner,698,812,,11.0
702,810,joiner,700,812,,11.0
704,810,joiner,700,814,,13.0
706,810,joiner,700,814,,17.0
708,810,joiner,700,818,,21.0
680,812,joiner,688,814,,21.0
682,812,joiner,688,814,,17.0
684,812,joiner,688,814,,13.0
686,812,joiner,688,814,,9.0
688,812,leader_t1,,,5.0,
690,812,leader_t1,,,5.0,
692,812,leader_t1,,,5.0,
694,812,both,,,7.0,
696,812,leader_t2,,,7.0,
698,812,leader_t2,,,7.0,
700,812,leader_t2,,,7.0,
702,812,joiner,700,814,,9.0
704,812,joiner,700,814,,13.0
706,812,joiner,700,818,,17.0
708,812,joiner,700,818,,21.0
680,814,joiner,688,814,,21.0
682,814,joiner,688,814,,17.0
684,814,joiner,688,814,,13.0
686,814,joiner,688,814,,9.0
688,814,leader_t1,,,5.0,
694,814,both,,,7.0,
700,814,leader_t2,,,5.0,
704,814,joiner,700,818,,13.0
706,814,joiner,700,818,,17.0
708,814,joiner,700,818,,21.0
680,816,joiner,688,814,,21.0
682,816,joiner,688,814,,17.0
684,816,joiner,688,814,,13.0
686,816,joiner,688,814,,9.0
688,816,leader_t1,,,5.0,
694,816,both,,,7.0,
700,816,leader_t2,,,5.0,
702,816,joiner,700,818,,9.0
704,816,joiner,700,818,,13.0
706,816,joiner,700,818,,17.0
708,816,joiner,700,818,,21.0
680,818,joiner,688,814,,21.0
682,818,joiner,688,814,,17.0
684,818,joiner,688,814,,13.0
686,818,joiner,688,816,,9.0
688,818,leader_t1,,,7.0,
690,818,leader_t1,,,7.0,
692,818,leader_t1,,,7.0,
694,818,both,,,7.0,
696,818,leader_t2,,,5.0,
698,818,leader_t2,,,5.0,
700,818,leader_t2,,,5.0,
702,818,joiner,700,818,,9.0
704,818,joiner,700,818,,13.0
706,818,joiner,700,818,,17.0
708,818,joiner,700,818,,21.0
680,820,joiner,688,814,,21.0
682,820,joiner,688,814,,17.0
684,820,joiner,688,816,,13.0
686,820,joiner,688,818,,11.0
688,820,joiner,690,818,,11.0
690,820,joiner,690,818,,11.0
692,820,joiner,690,818,,11.0
696,820,joiner,698,818,,9.0
698,820,joiner,700,818,,9.0
700,820,joiner,700,818,,9.0
702,820,joiner,700,818,,9.0
704,820,joiner,700,818,,13.0
708,820,joiner,700,818,,21.0
680,822,joiner,688,814,,21.0
682,822,joiner,688,816,,17.0
684,822,joiner,688,818,,15.0
686,822,joiner,690,818,,15.0
688,822,joiner,690,818,,15.0
690,822,joiner,690,818,,15.0
692,822,joiner,696,818,,13.0
694,822,joiner,698,818,,13.0
696,822,joiner,700,818,,13.0
700,822,joiner,700,818,,13.0
702,822,joiner,700,818,,13.0
680,824,joiner,688,816,,21.0
682,824,joiner,688,818,,19.0
684,824,joiner,690,818,,19.0
686,824,joiner,690,818,,19.0
688,824,joiner,690,818,,19.0
690,824,joiner,696,818,,17.0
692,824,joiner,698,818,,17.0
694,824,joiner,700,818,,17.0
696,824,joiner,700,818,,17.0
698,824,joiner,700,818,,17.0
700,824,joiner,700,818,,17.0
702,824,joiner,700,818,,17.0
680,826,joiner,688,818,,23.0
682,826,joiner,690,818,,23.0
684,826,joiner,690,818,,23.0
686,826,joiner,690,818,,23.0
688,826,joiner,696,818,,21.0
690,826,joiner,698,818,,21.0
692,826,joiner,700,818,,21.0
694,826,joiner,700,818,,21.0
696,826,joiner,700,818,,21.0
698,826,joiner,700,818,,21.0
700,826,joiner,700,818,,21.0
702,826,joiner,700,818,,21.0
